Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
7471,4.26,10.61%,0.0096,0.0365569344
7472,15.59,7.76%,0.0058,0.0834052528
7473,5.83,17.54%,0.0079,0.0379786022
7474,18.55,33.93%,0.005,0.061279925
7475,17.32,5.25%,0.0054,0.08861778
7476,15.4,14.05%,0.0065,0.08603595
7477,6.67,25.72%,0.0071,0.0351767796
7478,8.86,24.57%,0.0027,0.0180443646
7479,5.94,36.44%,0.0026,0.0098162064
7480,4.46,21.20%,0.0025,0.0087862
7481,6.1,2.39%,0.0066,0.039297786
7482,19.36,36.76%,0.009,0.110189376
7483,2.35,13.10%,0.0099,0.020217285
7484,7.82,23.65%,0.0063,0.037614591
7485,0.51,3.00%,0.0002,0.00009894
7486,3.68,39.71%,0.0003,0.0006656016
7487,8.79,16.24%,0.0052,0.0382850208
7488,7.54,37.09%,0.0052,0.0246657528
7489,3.71,20.06%,0.0019,0.0056349706
7490,3.85,14.60%,0.0079,0.02597441
7491,0.96,18.19%,0.0083,0.0065186208
7492,8.48,22.39%,0.0084,0.0552831552
7493,16.64,21.95%,0.0051,0.066236352
7494,22.13,31.21%,0.002,0.030446454
7495,4.41,16.21%,0.0003,0.0011085417
7496,13.94,11.73%,0.0004,0.0049219352
7497,20,12.45%,0.0078,0.136578
7498,8.47,35.24%,0.0025,0.01371293
7499,8.98,36.82%,0.0058,0.0329066712
7500,1.54,12.27%,0.0025,0.003377605
7501,1.97,33.07%,0.0064,0.0084385344
7502,8.21,29.17%,0.0033,0.0191899719
7503,0.73,34.45%,0.0042,0.002009763
7504,8.24,23.58%,0.0061,0.0384117488
7505,23.16,16.06%,0.0083,0.1613561832
7506,8.53,32.75%,0.0023,0.0131937775
7507,7.07,14.61%,0.0024,0.0144889752
7508,20.2,6.04%,0.0015,0.02846988
7509,4.02,1.78%,0.009,0.035535996
7510,8.41,37.70%,0.0056,0.029340808
7511,2.26,39.07%,0.0071,0.0097768278
7512,0.99,23.09%,0.0041,0.0031217769
7513,0.92,10.00%,0.0002,0.0001656
7514,12.18,14.26%,0.0036,0.0375952752
7515,3.55,8.89%,0.0056,0.018112668
7516,4.38,24.11%,0.0015,0.004985973
7517,5.77,23.69%,0.0098,0.0431502526
7518,12.16,25.57%,0.0016,0.0144811008
7519,10.99,27.02%,0.0051,0.0409045602
7520,11.49,36.94%,0.0009,0.0065210346
7521,11.69,36.08%,0.0025,0.01868062
7522,2.21,6.65%,0.0025,0.0051575875
7523,8.2,31.93%,0.0014,0.007814436
7524,23.58,14.76%,0.0019,0.0381892248
7525,18.82,6.45%,0.0043,0.075706273
7526,21.74,11.64%,0.0089,0.1709642296
7527,19.52,25.91%,0.0038,0.0549569984
7528,0.3,35.70%,0.0085,0.00163965
7529,24.68,29.66%,0.0003,0.0052079736
7530,16.87,14.74%,0.0064,0.0920535168
7531,6.67,35.07%,0.0081,0.0350797311
7532,5.53,36.82%,0.0045,0.015722343
7533,7.68,37.18%,0.0049,0.0236404224
7534,6.51,34.86%,0.0012,0.0050887368
7535,15.88,5.53%,0.0012,0.0180022032
7536,10.79,10.24%,0.0084,0.0813548736
7537,6.92,35.05%,0.0024,0.010786896
7538,21.77,8.06%,0.0071,0.1421088998
7539,6.14,29.13%,0.0069,0.0300247842
7540,17.82,23.78%,0.003,0.040747212
7541,2.46,32.27%,0.0024,0.0039987792
7542,23.78,10.99%,0.0017,0.0359831826
7543,13.52,36.85%,0.0045,0.03842046
7544,4.79,6.95%,0.007,0.031199665
7545,12.47,6.90%,0.0024,0.027862968
7546,24.42,12.96%,0.0038,0.0807696384
7547,11.43,33.62%,0.0006,0.0045523404
7548,1.15,28.43%,0.001,0.000823055
7549,23.68,19.53%,0.0071,0.1352926016
7550,7.94,7.35%,0.0086,0.063265126
7551,8.6,2.22%,0.0028,0.023545424
7552,4.56,2.33%,0.0056,0.0249410112
7553,14.99,18.65%,0.0083,0.1012132295
7554,1.88,35.88%,0.0089,0.0107285584
7555,17.52,11.87%,0.0041,0.0633055416
7556,12.87,20.66%,0.007,0.071477406
7557,12.81,11.66%,0.0069,0.0780828426
7558,24.3,27.22%,0.0028,0.049519512
7559,1.28,39.90%,0.0036,0.002769408
7560,13.98,18.11%,0.0029,0.0331998438
7561,10.52,8.74%,0.0099,0.0950454648
7562,9.48,31.84%,0.006,0.038769408
7563,23.31,9.49%,0.0083,0.1751124123
7564,7.72,38.15%,0.0057,0.027216474
7565,21.66,4.87%,0.0043,0.0886021794
7566,6.5,39.80%,0.0033,0.0129129
7567,5.03,19.28%,0.0056,0.0227372096
7568,12.23,33.35%,0.0056,0.045647252
7569,12.96,33.83%,0.0041,0.0351600912
7570,7.71,31.67%,0.0038,0.0200193234
7571,24.67,21.96%,0.0093,0.1790479524
7572,24.23,2.29%,0.0049,0.1160081517
7573,7.39,33.05%,0.0026,0.012863773
7574,14.55,19.79%,0.0057,0.0665221635
7575,13.32,26.22%,0.0017,0.0167067432
7576,21.89,33.98%,0.0055,0.079484779
7577,23.85,11.34%,0.0047,0.099383427
7578,18,12.64%,0.0034,0.05346432
7579,6.83,1.12%,0.0046,0.0310661184
7580,13.43,28.76%,0.0037,0.0353998684
7581,11.16,5.72%,0.0024,0.0252519552
7582,10.49,9.62%,0.002,0.018961724
7583,18.83,30.12%,0.0006,0.0078950424
7584,1.09,33.83%,0.0038,0.0027407614
7585,15.25,16.12%,0.0051,0.06523767
7586,23.14,1.00%,0.0046,0.10537956
7587,17.59,0.18%,0.0018,0.0316050084
7588,5.23,11.61%,0.0002,0.0009245594
7589,0.33,6.99%,0.0011,0.0003376263
7590,24.08,1.26%,0.0035,0.083218072
7591,0.94,6.61%,0.0071,0.0062328486
7592,12.43,19.55%,0.0099,0.0989993565
7593,20.12,5.35%,0.0097,0.184722726
7594,8.5,32.63%,0.0037,0.021187865
7595,13.56,28.78%,0.0057,0.0550473624
7596,10.83,30.09%,0.0091,0.0688984023
7597,24.9,24.01%,0.0009,0.017029359
7598,23.13,21.64%,0.0007,0.0126872676
7599,21.59,13.48%,0.0049,0.0915303732
7600,8.38,17.47%,0.0097,0.0670853358
7601,12.08,8.81%,0.0085,0.093633892
7602,1.09,37.89%,0.0028,0.0018955972
7603,13.28,16.10%,0.0068,0.075765056
7604,14.27,11.94%,0.005,0.06283081
7605,18.89,9.38%,0.0086,0.1472158148
7606,3.38,2.63%,0.0066,0.0217212996
7607,2.84,22.29%,0.0015,0.003310446
7608,16.14,17.99%,0.0089,0.1178040846
7609,8.06,27.35%,0.0024,0.014053416
7610,15.83,36.61%,0.0047,0.0471627939
7611,16.55,16.86%,0.0008,0.011007736
7612,15.53,21.95%,0.0051,0.0618179415
7613,24.71,24.35%,0.0062,0.115897313
7614,3.08,7.13%,0.006,0.017162376
7615,10.94,5.54%,0.0063,0.0651037212
7616,8.91,7.24%,0.0079,0.0652928364
7617,1.24,1.55%,0.0064,0.007812992
7618,14.65,17.77%,0.0066,0.079508187
7619,7.61,25.93%,0.0074,0.0417117798
7620,23.61,23.38%,0.0061,0.1103488902
7621,19.84,27.85%,0.0035,0.05010096
7622,4.28,33.15%,0.009,0.02575062
7623,14.01,39.43%,0.0037,0.0313976709
7624,22.93,19.43%,0.0045,0.0831361545
7625,24.53,30.39%,0.0045,0.0768389985
7626,10.21,12.46%,0,0
7627,23.06,12.32%,0.0022,0.0444818176
7628,20.91,30.10%,0.0047,0.068695623
7629,15.43,34.52%,0.0077,0.0777974428
7630,10.26,20.85%,0.0014,0.011369106
7631,9.93,7.30%,0.0069,0.063515259
7632,9.47,25.07%,0.0067,0.0475423357
7633,7.04,18.13%,0.0088,0.0507201024
7634,7.03,24.99%,0.0008,0.0042185624
7635,24.57,5.35%,0.0024,0.055813212
7636,10.97,1.75%,0.0086,0.092691015
7637,11.03,7.11%,0.0054,0.0553271418
7638,9.99,7.03%,0.0083,0.0770879349
7639,9.68,21.01%,0.0013,0.0099401016
7640,8.33,20.91%,0.0008,0.0052705576
7641,14.78,19.37%,0.0037,0.0440933218
7642,15.97,27.27%,0.0003,0.0034844943
7643,0.42,39.39%,0.0015,0.000381843
7644,16.23,34.36%,0.0065,0.069246918
7645,3.21,30.69%,0.0038,0.0084544338
7646,4.36,20.76%,0.004,0.013819456
7647,14.33,2.16%,0.0091,0.1275862952
7648,23.01,20.54%,0.0046,0.0841052316
7649,17.31,36.17%,0.0036,0.0397763028
7650,11.63,9.94%,0.0088,0.0921710064
7651,8.9,1.04%,0.0023,0.020257112
7652,13.04,27.16%,0.0013,0.0123478368
7653,4.99,13.35%,0.0077,0.0332935295
7654,22.81,13.29%,0.0033,0.0652692183
7655,11.66,1.12%,0.008,0.092235264
7656,11.97,23.05%,0.0025,0.0230272875
7657,13.94,23.23%,0.0034,0.0363859092
7658,2.1,1.89%,0.0074,0.015246294
7659,13.55,32.99%,0.0084,0.076270782
7660,24.84,20.53%,0.0067,0.1322603316
7661,14.32,3.45%,0.0092,0.127198832
7662,14.62,37.19%,0.0069,0.0633614718
7663,14.2,5.70%,0.0089,0.11917634
7664,13.69,1.80%,0.0029,0.038986382
7665,16.59,37.85%,0.0024,0.024745644
7666,12.97,17.17%,0.0064,0.0687555264
7667,12.28,0.82%,0.0055,0.066986172
7668,19.8,6.80%,0.0066,0.12179376
7669,17.44,22.73%,0.0052,0.0700746176
7670,7.38,8.85%,0.0085,0.057178395
7671,1.85,31.35%,0.0025,0.0031750625
7672,21.23,37.51%,0.0004,0.0053066508
7673,4.99,29.71%,0.0022,0.0077164362
7674,19.02,14.54%,0.0098,0.1592940216
7675,4.13,26.62%,0.009,0.027275346
7676,10.16,14.27%,0.0029,0.0252594872
7677,7.01,26.55%,0.0001,0.0005148845
7678,17.25,0.16%,0.006,0.1033344
7679,10.66,4.81%,0.0043,0.0436331922
7680,11.54,38.68%,0.0063,0.0445808664
7681,16.85,17.67%,0.0095,0.1317897475
7682,4.07,2.67%,0.0095,0.0376326445
7683,20.96,14.74%,0.0093,0.1661956128
7684,21.63,12.66%,0.0096,0.1813597632
7685,23.26,36.67%,0.0027,0.0397725066
7686,16.23,21.86%,0.0037,0.0469238514
7687,12.69,26.17%,0.0027,0.0252963729
7688,21.9,26.56%,0.0002,0.003216672
7689,0.51,38.75%,0.0024,0.0007497
7690,20.78,28.59%,0.0036,0.0534203928
7691,23.37,15.66%,0.0048,0.0946092384
7692,3.32,27.68%,0.0086,0.0206488064
7693,8.7,22.48%,0.0058,0.039116592
7694,14.11,24.94%,0.0066,0.0699003756
7695,22.63,22.21%,0.0049,0.0862589973
7696,6.54,28.87%,0.004,0.018607608
7697,23.45,29.90%,0.0029,0.047671505
7698,10.35,20.09%,0.0078,0.064511343
7699,2.17,23.86%,0.0059,0.0097482042
7700,20.95,31.58%,0.0043,0.061636157
7701,11.33,16.20%,0.0092,0.087349768
7702,1.98,29.87%,0.006,0.008331444
7703,19.83,20.89%,0,0
7704,3.81,25.31%,0.0082,0.0233346498
7705,13.91,23.90%,0.0099,0.104796549
7706,16.87,23.90%,0.0015,0.019257105
7707,22.27,38.42%,0.0057,0.0781690362
7708,5.03,28.99%,0.0064,0.0228595392
7709,14.99,14.76%,0.0086,0.1098862936
7710,14.65,32.73%,0.0053,0.0522317915
7711,10.37,28.86%,0.0034,0.0250825412
7712,24.94,22.53%,0.0097,0.1874138746
7713,8.23,6.55%,0.008,0.06152748
7714,18.19,12.04%,0.0097,0.1551992628
7715,14.71,18.99%,0.0099,0.1179740529
7716,21.74,18.94%,0.0065,0.114545886
7717,18.43,15.36%,0.0026,0.0405577952
7718,23.77,13.63%,0.0071,0.1457640579
7719,18.09,23.97%,0.0046,0.0632676042
7720,10.18,8.38%,0.0088,0.0820768608
7721,10.18,8.34%,0.0014,0.0130633832
7722,4.9,26.27%,0.0047,0.016980019
7723,1.58,28.64%,0.0056,0.0063139328
7724,22.84,5.14%,0.0065,0.140829156
7725,1.24,0.37%,0.0025,0.00308853
7726,23.05,24.85%,0.0016,0.02771532
7727,3.27,2.38%,0.0009,0.0028729566
7728,22.5,32.34%,0.0014,0.0213129
7729,15.29,23.66%,0.0078,0.0910446108
7730,9.16,1.26%,0.0074,0.0669299216
7731,11.79,19.05%,0.0052,0.049628826
7732,9.14,4.29%,0.0015,0.013121841
7733,18.59,19.96%,0.0018,0.0267829848
7734,2.15,35.56%,0.0031,0.004294926
7735,23.78,37.35%,0.0097,0.144512249
7736,9.91,15.04%,0,0
7737,6.46,39.70%,0.0025,0.00973845
7738,13.54,25.53%,0.0094,0.0947824372
7739,14.41,16.27%,0.0016,0.0193047888
7740,14.4,7.63%,0.0018,0.023942304
7741,3.15,16.61%,0.0036,0.009456426
7742,5.37,24.71%,0.0061,0.0246627453
7743,0.63,12.07%,0.0076,0.0042100884
7744,9.13,14.68%,0.0033,0.0257060628
7745,17.4,9.54%,0.0053,0.083422212
7746,9.36,39.82%,0.0047,0.0264743856
7747,10.71,7.02%,0.0012,0.0119497896
7748,3.15,3.23%,0.0017,0.0051820335
7749,10.96,37.81%,0.0061,0.0415777464
7750,21.36,20.77%,0.005,0.08461764
7751,2.25,21.94%,0.0058,0.01018683
7752,13.06,9.73%,0.0052,0.0613041624
7753,9.51,24.09%,0.0055,0.0397047255
7754,2.39,35.71%,0.0044,0.0067607364
7755,16.52,36.06%,0.0004,0.0042251552
7756,17.48,9.09%,0.0053,0.0842226604
7757,11.38,32.74%,0.001,0.007654188
7758,0.08,6.83%,0.0054,0.0004024944
7759,0.63,2.69%,0.0055,0.0033717915
7760,7.93,38.26%,0.0012,0.0058751784
7761,14.94,34.74%,0.0044,0.0428993136
7762,20.03,32.82%,0.0023,0.0309491542
7763,5.35,31.84%,0.0006,0.002187936
7764,18.12,32.67%,0.0067,0.0817413132
7765,1.13,19.30%,0.0055,0.005015505
7766,18.89,7.49%,0.0015,0.0262127085
7767,1.02,26.28%,0.0077,0.0057899688
7768,9.51,26.77%,0.0055,0.0383029515
7769,15.84,14.06%,0.0004,0.0054451584
7770,11.36,24.31%,0.0012,0.0103180608
7771,21.74,12.52%,0.0047,0.0893853144
7772,7.94,36.12%,0.0069,0.0349972968
7773,22.1,2.52%,0.0083,0.178807564
7774,22.36,32.72%,0.0032,0.0481401856
7775,17.21,19.95%,0.0058,0.079904309
7776,17.13,26.10%,0.0054,0.068358978
7777,17.64,39.41%,0.0085,0.090848646
7778,5.88,32.53%,0.0089,0.0353084004
7779,22.85,32.78%,0.0089,0.136701953
7780,17.66,19.62%,0.0082,0.1163998856
7781,15.14,18.45%,0.0071,0.087661357
7782,11.32,38.53%,0.0074,0.0514921896
7783,24.42,31.89%,0.0075,0.124743465
7784,11.37,29.83%,0.0047,0.0374981463
7785,3.04,27.46%,0.0012,0.0026462592
7786,2.36,1.26%,0.0013,0.0030293432
7787,8.58,5.22%,0.0074,0.0601777176
7788,8.82,6.58%,0.0006,0.0049437864
7789,18.75,8.59%,0.0027,0.0462763125
7790,10.86,2.88%,0.0024,0.0253133568
7791,3.09,37.86%,0.0021,0.0040322646
7792,9.32,10.30%,0.0039,0.032604156
7793,0.28,29.72%,0.0077,0.0015152368
7794,17.27,24.60%,0.0086,0.111985588
7795,17.12,25.21%,0.007,0.089628336
7796,12.44,6.55%,0.0085,0.09881403
7797,11.94,24.93%,0.0041,0.0367497678
7798,16.07,17.70%,0.0067,0.088611587
7799,1.17,16.65%,0.0076,0.007411482
7800,24.09,24.03%,0.0079,0.1445792667
7801,14.73,15.67%,0.0045,0.0558981405
7802,17.7,36.05%,0.0084,0.09508086
7803,13.01,8.21%,0.0024,0.0286605096
7804,2.07,36.86%,0.0048,0.0062735904
7805,19.36,28.10%,0.0047,0.065423248
7806,17,25.06%,0.0014,0.01783572
7807,18.87,34.63%,0.0057,0.0703113183
7808,13.02,21.32%,0.0011,0.0112685496
7809,9.15,10.26%,0.0007,0.005747847
7810,14.54,7.45%,0.0021,0.028259217
7811,20.13,5.91%,0.0067,0.1269001239
7812,24.26,29.79%,0.0092,0.1567031032
7813,11.71,4.79%,0.0082,0.0914225462
7814,16.77,18.58%,0.0047,0.0641744298
7815,4.61,29.22%,0.0056,0.0182725648
7816,21.49,38.60%,0.008,0.10555888
7817,6.86,9.74%,0.0071,0.0439620356
7818,11.05,28.41%,0.0022,0.017403529
7819,1.95,2.37%,0.0013,0.0024749205
7820,0.82,0.98%,0.0012,0.0009743568
7821,18.98,18.56%,0.0075,0.11592984
7822,0.1,14.59%,0.0083,0.000708903
7823,12.58,13.81%,0.0037,0.0401179974
7824,3.48,25.83%,0.0032,0.0082595712
7825,13.95,2.50%,0.0023,0.031282875
7826,12.59,12.90%,0.0072,0.078954408
7827,17.07,32.04%,0.0042,0.0487232424
7828,22.2,30.80%,0.0036,0.05530464
7829,15.86,10.24%,0.0003,0.0042707808
7830,8.68,20.71%,0.0083,0.0571236876
7831,2.51,20.42%,0.003,0.005992374
7832,6.18,19.62%,0.005,0.02483742
7833,5.99,21.34%,0.0082,0.0386362188
7834,0.63,39.69%,0.0023,0.0008738919
7835,6.76,24.35%,0.0083,0.042445702
7836,11.76,22.43%,0.0028,0.0255422496
7837,6.75,5.56%,0.0065,0.04143555
7838,18.69,22.08%,0.0043,0.0626219664
7839,3.03,18.43%,0.0006,0.0014829426
7840,7.02,7.71%,0.0082,0.0531258156
7841,12.1,35.17%,0.0099,0.077659857
7842,23.08,1.58%,0.0014,0.0318014704
7843,8.48,29.87%,0.002,0.011894048
7844,23.54,1.83%,0.0094,0.2172266492
7845,21.76,7.12%,0.0046,0.0929691648
7846,13.89,18.94%,0.0054,0.0607998636
7847,5.75,27.50%,0.0009,0.003751875
7848,10.41,1.84%,0.0004,0.0040873824
7849,23.49,2.99%,0.0074,0.1686286026
7850,4.17,28.39%,0.0053,0.0158265261
7851,2.92,30.72%,0.0063,0.0127447488
7852,5.27,21.30%,0.0046,0.019078454
7853,3.5,10.96%,0.0073,0.02274972
7854,6.58,22.50%,0.0087,0.04436565
7855,10.38,23.12%,0.0017,0.0135662448
7856,8.84,20.41%,0.0082,0.0576931992
7857,19.07,8.87%,0.0055,0.0955817005
7858,0.67,7.17%,0.0074,0.0046025114
7859,17.82,20.40%,0.0069,0.097874568
7860,13.6,5.82%,0.0033,0.042267984
7861,10.05,16.10%,0.0073,0.061553235
7862,7.69,3.57%,0.0079,0.0585821893
7863,10.82,21.82%,0.0011,0.0093049836
7864,16.83,29.89%,0.0009,0.0106195617
7865,2.57,15.72%,0.0052,0.0112631792
7866,10.49,20.17%,0.0088,0.0736926696
7867,17.3,38.32%,0.0094,0.100304016
7868,3.55,22.13%,0.0087,0.0240501495
7869,2,4.00%,0.0001,0.000192
7870,7.44,26.05%,0.001,0.00550188
7871,13.81,16.30%,0.0081,0.093627657
7872,11.95,34.84%,0.0056,0.043605072
7873,0.27,32.54%,0.0011,0.0002003562
7874,11.93,7.70%,0.0012,0.013213668
7875,13.96,24.93%,0.0072,0.0754543584
7876,24.08,6.14%,0.003,0.067804464
7877,10.89,7.23%,0.0076,0.0767801628
7878,14.34,34.49%,0.0078,0.0732742452
7879,4.27,4.95%,0.0008,0.003246908
7880,15.53,4.99%,0.0011,0.0162305583
7881,24.09,38.28%,0.0033,0.0490655484
7882,8.84,31.64%,0.0034,0.0205462816
7883,22.78,14.84%,0.002,0.038798896
7884,14.92,29.40%,0.0038,0.040027376
7885,24.56,25.31%,0.0012,0.0220126368
7886,10.12,1.38%,0.0025,0.02495086
7887,14.4,2.42%,0.0088,0.123653376
7888,10.63,4.50%,0.0048,0.04872792
7889,14.98,13.34%,0.0055,0.071399174
7890,17.53,9.49%,0.0009,0.0142797627
7891,22.43,28.57%,0.0019,0.0304413231
7892,1.8,18.23%,0.0042,0.006181812
7893,6.82,33.29%,0.009,0.040946598
7894,21.03,37.60%,0.0025,0.0328068
7895,11.98,21.37%,0.0044,0.0414474456
7896,9.09,3.25%,0.002,0.01758915
7897,18.79,1.02%,0.0091,0.1692449122
7898,20.3,29.53%,0.0018,0.025749738
7899,19.21,23.45%,0.0024,0.035292612
7900,10.92,2.67%,0.0022,0.0233825592
7901,7.63,16.69%,0.0087,0.0553020111
7902,16.77,23.02%,0.0093,0.1200587778
7903,5.15,22.47%,0.0098,0.039129391
7904,17.23,21.38%,0.0068,0.0921143368
7905,19.95,5.94%,0.0082,0.153872754
7906,13.93,29.73%,0.0069,0.0675414159
7907,1.93,2.55%,0.0076,0.014293966
7908,11.87,4.69%,0.0076,0.0859810572
7909,20.61,6.60%,0.0061,0.117423414
7910,23.9,3.11%,0.0072,0.166728312
7911,3.91,22.54%,0.0057,0.0172635102
7912,2.79,3.98%,0.0005,0.001339479
7913,12.27,14.40%,0.0067,0.070370904
7914,6.26,30.84%,0.0082,0.0355012112
7915,8.78,22.74%,0.0008,0.0054267424
7916,8.81,1.15%,0.0087,0.0757655595
7917,9.97,16.39%,0.0005,0.0041679585
7918,3.13,8.99%,0.0076,0.0216494588
7919,9.43,32.76%,0.0059,0.0374103188
7920,3.46,3.97%,0.0096,0.0318973248
7921,2.15,15.10%,0.0025,0.004563375
7922,22.42,35.53%,0.0018,0.0260175132
7923,20.26,28.47%,0.0076,0.1101390328
7924,21.38,32.50%,0.0035,0.05051025
7925,10.06,18.12%,0.0033,0.0271825224
7926,0.64,33.04%,0.0095,0.004071168
7927,3.21,2.41%,0.0069,0.0216152091
7928,15.45,10.55%,0.0058,0.080156145
7929,8.09,10.58%,0.0054,0.0390640212
7930,14.88,37.03%,0.0009,0.0084329424
7931,9.43,2.86%,0.0035,0.032061057
7932,1.64,26.57%,0.0043,0.0051782836
7933,22.23,12.87%,0.0004,0.0077475996
7934,17.75,2.36%,0.0013,0.02253043
7935,7.62,26.47%,0.0049,0.0274546314
7936,2.11,13.49%,0.0057,0.0104045577
7937,20.86,8.80%,0.009,0.17121888
7938,22.31,4.17%,0.0098,0.2095207954
7939,13.07,34.60%,0.0089,0.076075242
7940,4.45,36.21%,0.0023,0.0065289065
7941,14.49,29.22%,0.0005,0.005128011
7942,3.49,22.40%,0.004,0.01083296
7943,14,8.73%,0.0072,0.09200016
7944,3.3,32.54%,0.006,0.01335708
7945,19.79,36.10%,0.0064,0.080933184
7946,10.04,36.77%,0.0064,0.0406290688
7947,13.66,5.58%,0.0049,0.0631990828
7948,21.59,6.36%,0.0049,0.0990626924
7949,9.3,27.38%,0.0037,0.024988542
7950,23.91,38.87%,0.0024,0.0350788392
7951,2,3.73%,0.0043,0.00827922
7952,8.79,0.88%,0.0056,0.0487908288
7953,11.46,36.19%,0.0031,0.0226691406
7954,4.44,13.22%,0.0072,0.0277418304
7955,0.37,36.92%,0.0001,0.0000233396
7956,13.77,16.26%,0.0055,0.063420489
7957,15.14,30.16%,0.0031,0.0327787056
7958,3.3,13.92%,0.0038,0.010794432
7959,5.36,19.74%,0.0051,0.0219398736
7960,20.92,28.58%,0.0074,0.1105638736
7961,7.18,6.87%,0.0037,0.0247409158
7962,19.24,27.00%,0.0011,0.01544972
7963,11.34,33.69%,0.0006,0.0045117324
7964,2.81,35.13%,0.0041,0.0074736727
7965,1.08,1.00%,0.0063,0.00673596
7966,15.21,9.22%,0.0048,0.0662766624
7967,4.27,5.02%,0.0088,0.0356896848
7968,13.77,10.97%,0.0062,0.0760084722
7969,1.04,19.63%,0.0014,0.0011701872
7970,1.35,27.04%,0.0059,0.005811264
7971,11.52,23.60%,0.0082,0.072170496
7972,21.83,22.74%,0.0092,0.1551658936
7973,25,9.14%,0.0084,0.190806
7974,15.12,7.43%,0.0038,0.0531870192
7975,9.51,9.77%,0.0046,0.0394720158
7976,19.49,24.20%,0.0048,0.070912416
7977,12.14,15.83%,0.0004,0.0040872952
7978,22.17,37.08%,0.0015,0.020924046
7979,7.72,7.57%,0.0064,0.0456678144
7980,8.37,38.96%,0.0022,0.0112399056
7981,5.35,32.60%,0.0042,0.01514478
7982,21.19,19.28%,0.0075,0.12828426
7983,17.67,20.23%,0.0066,0.0930293694
7984,10.05,2.15%,0.0004,0.00393357
7985,23.16,21.48%,0.0025,0.04546308
7986,2.63,23.88%,0.0067,0.0134131052
7987,21.02,8.39%,0.0076,0.1463488072
7988,23.69,2.51%,0.0089,0.2055488909
7989,15.17,31.47%,0.0044,0.0457424044
7990,23.68,14.19%,0.0098,0.1991341184
7991,12.17,31.97%,0.0007,0.0057954757
7992,12.65,34.32%,0.0055,0.04569686
7993,8.43,20.64%,0.0015,0.010035072
7994,1.7,11.87%,0.0095,0.014232995
7995,19.51,5.85%,0.0018,0.033063597
7996,1.09,23.83%,0.0073,0.0060608469
7997,13.62,21.85%,0.0072,0.076637016
7998,1.31,36.61%,0.0071,0.0058959039
7999,14.21,1.58%,0.0097,0.1356591754
8000,7.09,33.01%,0.0072,0.0341970552
8001,3.09,8.62%,0.0067,0.0189184014
8002,11.69,38.88%,0.0058,0.0414405824
8003,5.26,4.65%,0.0017,0.008526197
8004,14.12,9.31%,0.0049,0.0627465972
8005,18.95,13.36%,0.0053,0.087016884
8006,5.02,10.23%,0.0056,0.0252361424
8007,4.72,16.21%,0.0009,0.0035593992
8008,22.04,19.00%,0.0039,0.06962436
8009,15.35,19.29%,0.0032,0.039644752
8010,1.46,26.39%,0.0055,0.005910883
8011,7.8,25.10%,0.0085,0.0496587
8012,19.28,38.66%,0.0073,0.0863323696
8013,17.28,24.06%,0.0098,0.1285998336
8014,20.6,28.04%,0.0008,0.011859008
8015,21.96,29.99%,0.0084,0.1291432464
8016,7.67,0.31%,0.0018,0.0137632014
8017,9.99,3.79%,0.0002,0.0019222758
8018,23.53,31.19%,0.0004,0.0064763972
8019,1.5,29.32%,0.0065,0.0068913
8020,18.78,5.25%,0.0016,0.02847048
8021,2.88,1.04%,0.0058,0.0165302784
8022,24.52,8.21%,0.001,0.022506908
8023,10.86,18.47%,0.0071,0.0628645218
8024,2.53,12.47%,0.005,0.011072545
8025,0.91,6.02%,0.0031,0.0026511758
8026,14.93,9.04%,0.0008,0.0108642624
8027,14.29,37.82%,0.0031,0.0275451182
8028,12,6.03%,0.009,0.1014876
8029,6.08,29.41%,0.0068,0.0291847296
8030,21.86,25.20%,0.007,0.11445896
8031,22.05,16.43%,0.0046,0.084765051
8032,12.37,12.58%,0.0064,0.0692086656
8033,7.4,12.76%,0.0087,0.056165112
8034,9.3,18.07%,0.0052,0.039621348
8035,20.49,12.80%,0.0073,0.130431144
8036,8.08,9.57%,0.0029,0.0211895576
8037,11.73,21.51%,0.0039,0.0359068203
8038,5.92,20.44%,0.0096,0.0452155392
8039,14.12,36.22%,0.0093,0.0837533448
8040,2.41,23.22%,0.0071,0.0131378258
8041,5.96,19.91%,0.0034,0.0162294376
8042,14.53,19.39%,0.0036,0.0421654788
8043,21.54,34.33%,0.0049,0.0693120582
8044,5.84,26.68%,0.0031,0.0132738528
8045,14.26,6.59%,0.0058,0.0772575428
8046,17.56,17.69%,0.0072,0.1040661792
8047,4.95,0.19%,0.0033,0.0163039635
8048,9.27,23.06%,0.0074,0.0527793012
8049,21.36,20.88%,0.0062,0.1047801984
8050,4.07,14.36%,0.0055,0.019170514
8051,1.61,10.50%,0.0017,0.002449615
8052,23.8,0.95%,0.0025,0.05893475
8053,22.35,29.48%,0.0012,0.018913464
8054,19.11,34.52%,0.0024,0.0300317472
8055,21.32,26.64%,0.0067,0.1047903584
8056,14.9,10.98%,0.0093,0.123355014
8057,11.23,29.88%,0.0081,0.0637832556
8058,18.38,39.44%,0.0076,0.0845950528
8059,6.87,35.55%,0.0004,0.001771086
8060,22.94,26.90%,0.0046,0.077138044
8061,9.17,38.51%,0.002,0.011277266
8062,11.72,32.93%,0.0083,0.0652430132
8063,5.31,21.25%,0.0028,0.01170855
8064,23.03,31.08%,0.0075,0.11904207
8065,19.48,37.80%,0.0007,0.008481592
